Index,Issue_key,issue_fixing_commit,issue_inducing_commit,impacted test,code change covered by the impacted test
1,CASSANDRA-12763,d73f45bad4cd6d8cf1cea7d9b35b76075dc277e1,b32a9e6452c78e6ad08e371314bf1ab7492d0773,LogTransactionTest,LogFile.java:getRecords#LogRecord.java:make#
2,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,DataResolverTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#DataResolver.java:resolve#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#LivenessInfo.java:supersedes#BTreeRow.java:purge#Filter.java:applyToRow#
3,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,TriggerExecutorTest,LivenessInfo.java:supersedes#Filter.java:applyToStatic#Filter.java:applyToRow#FilteredRows.java:filter#BTreeRow.java:purge#
4,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,TimestampTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#LivenessInfo.java:supersedes#BTreeRow.java:purge#Filter.java:applyToRow#FilteredRows.java:filter#
5,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,CounterCacheTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#LivenessInfo.java:supersedes#BTreeRow.java:purge#Filter.java:applyToRow#FilteredRows.java:filter#
6,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,CleanupTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#LivenessInfo.java:supersedes#BTreeRow.java:purge#Filter.java:applyToRow#FilteredRows.java:filter#
7,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,IndexQueryPagingTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#LivenessInfo.java:supersedes#BTreeRow.java:purge#Filter.java:applyToRow#FilteredRows.java:filter#
8,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,VerifyTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#BTreeRow.java:purge#Filter.java:applyToRow#FilteredRows.java:filter#
9,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,CounterMutationTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#LivenessInfo.java:supersedes#BTreeRow.java:purge#Filter.java:applyToRow#FilteredRows.java:filter#
10,CASSANDRA-13794,f93e6e3401c343dec74687d8b079b5697813ab28,1b36740ebe66b8ed4c3d6cb64eb2419a9279dfbf,SecondaryIndexTest,PurgeFunction.java:applyToStatic#FilteredPartitions.java:filter#Filter.java:applyToStatic#ReadCommand.java:withoutPurgeableTombstones#PurgeFunction.java:applyToRow#LivenessInfo.java:supersedes#BTreeRow.java:purge#Filter.java:applyToRow#FilteredRows.java:filter#
