Index,Issue_key,issue_fixing_commit,issue_inducing_commit,impacted test,code change covered by the impacted test
1,YARN-4307,308d63f382e1992ea2b8ccf3130edaaa751c644d,7af5d6b4bae762e3c7fd0bb16f1f04d45e42ea25,TestWorkPreservingRMRestart,SchedulerApplicationAttempt.java:recoverContainer#
2,YARN-4307,308d63f382e1992ea2b8ccf3130edaaa751c644d,7af5d6b4bae762e3c7fd0bb16f1f04d45e42ea25,TestAMRMClientOnRMRestart,SchedulerApplicationAttempt.java:recoverContainer#
3,YARN-4307,308d63f382e1992ea2b8ccf3130edaaa751c644d,7af5d6b4bae762e3c7fd0bb16f1f04d45e42ea25,TestRMWebServicesApps,RMWebServices.java:getAppAttempts#
4,YARN-4307,308d63f382e1992ea2b8ccf3130edaaa751c644d,e914220ab9d090b709d445bb415e45eab0c4dea5,TestAHSWebApp,AppPage.java:content#
5,YARN-5889,5fb723bb77722d41df6959eee23e1b0cfeb5584e,d9281fbbab4a2e0475789e724f21faa52a465f62,TestCapacityScheduler,ParentQueue.java:assignContainers#ParentQueue.java:attachContainer#LeafQueue.java:computeUserLimit#LeafQueue.java:getUsers#ParentQueue.java:detachContainer#LeafQueue.java:toString#ParentQueue.java:toString#LeafQueue.java:removeApplicationAttempt#LeafQueue.java:detachContainer#LeafQueue.java:assignToUser#LeafQueue.java:activateApplications#LeafQueue.java:getHeadroom#LeafQueue.java:computeUserLimitAndSetHeadroom#LeafQueue.java:canAssignToThisQueue#LeafQueue.java:allocateResource#ParentQueue.java:canAssignToThisQueue#LeafQueue.java:releaseResource#LeafQueue.java:attachContainer#ParentQueue.java:completedContainer#
6,YARN-3388,444b2ea7afebf9f6c3d356154b71abfd0ea95b23,d9281fbbab4a2e0475789e724f21faa52a465f62,TestCapacityScheduler,ParentQueue.java:assignContainers#ParentQueue.java:attachContainer#LeafQueue.java:computeUserLimit#LeafQueue.java:getUsers#ParentQueue.java:detachContainer#LeafQueue.java:toString#ParentQueue.java:toString#LeafQueue.java:removeApplicationAttempt#LeafQueue.java:detachContainer#LeafQueue.java:assignToUser#LeafQueue.java:activateApplications#LeafQueue.java:getHeadroom#LeafQueue.java:computeUserLimitAndSetHeadroom#LeafQueue.java:canAssignToThisQueue#LeafQueue.java:allocateResource#ParentQueue.java:canAssignToThisQueue#LeafQueue.java:releaseResource#LeafQueue.java:attachContainer#ParentQueue.java:completedContainer#
7,YARN-5889,5fb723bb77722d41df6959eee23e1b0cfeb5584e,d9281fbbab4a2e0475789e724f21faa52a465f62,TestRMWebServicesCapacitySched,LeafQueue.java:getUsers#LeafQueue.java:activateApplications#ParentQueue.java:toString#LeafQueue.java:toString#
8,YARN-3388,444b2ea7afebf9f6c3d356154b71abfd0ea95b23,d9281fbbab4a2e0475789e724f21faa52a465f62,TestRMWebServicesCapacitySched,LeafQueue.java:getUsers#LeafQueue.java:activateApplications#ParentQueue.java:toString#LeafQueue.java:toString#
9,YARN-5889,5fb723bb77722d41df6959eee23e1b0cfeb5584e,d9281fbbab4a2e0475789e724f21faa52a465f62,TestClientRMService,ParentQueue.java:assignContainers#ParentQueue.java:toString#LeafQueue.java:toString#ParentQueue.java:assignToQueueIfUnreserve#LeafQueue.java:removeApplicationAttempt#LeafQueue.java:activateApplications#ParentQueue.java:canAssignToThisQueue#
10,YARN-3388,444b2ea7afebf9f6c3d356154b71abfd0ea95b23,d9281fbbab4a2e0475789e724f21faa52a465f62,TestClientRMService,ParentQueue.java:assignContainers#ParentQueue.java:toString#LeafQueue.java:toString#ParentQueue.java:assignToQueueIfUnreserve#LeafQueue.java:removeApplicationAttempt#LeafQueue.java:activateApplications#ParentQueue.java:canAssignToThisQueue#
