Index,Issue_key,issue_fixing_commit,issue_inducing_commit,impacted test,code change covered by the impacted test
1,OPENJPA-2665,02330ad212bb9b739901a68b42a4c440ea7a1b13,3bdb0b95d8b728447cde2c23d53d673c49e7198b,TestMany2ManyMapEx2,AbstractCFMetaDataFactory.java:parsePersistentTypeNames#
2,OPENJPA-2665,02330ad212bb9b739901a68b42a4c440ea7a1b13,3bdb0b95d8b728447cde2c23d53d673c49e7198b,TestHandlerStrategy,AbstractCFMetaDataFactory.java:parsePersistentTypeNames#
3,OPENJPA-2665,02330ad212bb9b739901a68b42a4c440ea7a1b13,3bdb0b95d8b728447cde2c23d53d673c49e7198b,TestInitializeEagerly,AbstractCFMetaDataFactory.java:parsePersistentTypeNames#
4,OPENJPA-2665,02330ad212bb9b739901a68b42a4c440ea7a1b13,3bdb0b95d8b728447cde2c23d53d673c49e7198b,TestDelayedPriorityQueueProxy,AbstractCFMetaDataFactory.java:parsePersistentTypeNames#
5,OPENJPA-2665,02330ad212bb9b739901a68b42a4c440ea7a1b13,3bdb0b95d8b728447cde2c23d53d673c49e7198b,TestLRS,AbstractCFMetaDataFactory.java:parsePersistentTypeNames#
6,OPENJPA-2665,02330ad212bb9b739901a68b42a4c440ea7a1b13,3bdb0b95d8b728447cde2c23d53d673c49e7198b,TestJointableOneToMany,AbstractCFMetaDataFactory.java:parsePersistentTypeNames#
7,OPENJPA-2665,02330ad212bb9b739901a68b42a4c440ea7a1b13,3bdb0b95d8b728447cde2c23d53d673c49e7198b,TestJPAValidation,J2DoPrivHelper.java:buildDefaultValidatorFactoryAction#AbstractCFMetaDataFactory.java:parsePersistentTypeNames#
8,OPENJPA-2665,f0286a268e1d3d1b97c361fe2bad743b8064094a,9fa9ef4fe825bf29c480303c169413ab997e5707,TestMany2ManyMapEx2,PersistenceProductDerivation.java:load#
9,OPENJPA-2665,f0286a268e1d3d1b97c361fe2bad743b8064094a,9fa9ef4fe825bf29c480303c169413ab997e5707,TestHandlerStrategy,PersistenceProductDerivation.java:load#
10,OPENJPA-2665,f0286a268e1d3d1b97c361fe2bad743b8064094a,9fa9ef4fe825bf29c480303c169413ab997e5707,TestPersistenceProductDerivation,PersistenceProductDerivation.java:load#
11,OPENJPA-2665,f0286a268e1d3d1b97c361fe2bad743b8064094a,9fa9ef4fe825bf29c480303c169413ab997e5707,TestInitializeEagerly,PersistenceProductDerivation.java:load#
