"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,17,0,1,0,0,0,16,13,14,5,3,11,18,4,15,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,9,20,0,0,0,0,0,0,0,0,0,0,12,8,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0
0,21,0,1,0,0,0,18,12,19,9,8,10,20,17,16,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,22,0,0,0,5,23,0,0,0,0,0,14.5,0,0,0,0,11,0,0,0,3,14.5,0,6,0,0,0,0,0,0,0,0,0
0,13,0,2,0,0,0,19,6,10,3,4,7,18,17,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,9,20,0,0,0,0,0,0,0,0,0,0,11,0,0,12,14,15,0,16,0,0,0,0,0,0,0,0,0
0,8,0,5,0,0,0,19,18,15,16,2,11,17,10,9,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,13,0,0,4,6,12,0,14,0,0,0,0,0,0,0,0,0
0,14,0,7,0,0,0,20,16,18,9,10,6,15,11,19,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,22,0,0,0,0,0,8,0,0,0,0,17,0,0,3,5,12,0,13,0,0,0,0,0,0,0,0,0
0,13,0,6,0,0,0,19,8,15,4,3,11,14,7,18,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,9,21,0,0,0,0,0,16,0,0,0,0,12,0,0,0,5,17,0,10,0,0,0,0,0,0,0,0,0
0,5,0,3,0,7,0,14,0,15,1,6,11,9,8,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,19,17,2,0,0,0,0,0,0,0,0,0
0,7,0,4,0,5,0,9,0,19,1,3,12,10,6,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,17,0,0,0,0,0,13,14,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0
0,3,8,2,0,5,0,11,0,18,6,7,16,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,15,0,0,0,0,0,19,0,0,0,0,10,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0
0,5,10,4,0,6,0,15,0,18,7,3,17,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,16,0,0,0,0,0,20,0,0,19,0,9,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0
