"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
7,0,0,3,0,0,2,1,0,10,0,3,0,0,4,5,15,0,9,0,20,2,0,0,0,11,0,0,8,0,0,0,0,17,0,0,0,0,0,6,12,18,13,12,0,19,0,0,17,17,17,4,0,0,14,0,0,0,0,17,16,12,0,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,6,0,3,2,0,5,7,11,0,5,13,8,6,0,10,4,4,0,0,7,0,0,0,0,16,0,0,0,0,12,14,8,16,15,9,0,10,0,0,16,16,14,0,0,0,0,0,0,0,0,15,15,8,0,0,0,0,0,0,0,0,0
11,0,0,3,0,0,0,1,0,4,0,6,6,0,9,8,10,0,5,14,10,15,0,0,8,2,0,0,12,0,0,0,0,15,0,0,0,0,13,15,12,15,15,10,0,5,0,0,15,15,15,0,0,0,14,0,0,0,0,15,15,7,0,0,0,0,0,0,0,0,0
10,0,0,2,0,0,0,1,0,6,0,3,4,0,5,11,10,0,5,11,14,8,0,0,0,2,0,0,8,0,0,0,0,11,0,0,0,0,10,10,9,13,13,7,0,15,0,0,11,11,13,0,0,0,11,5,0,0,0,11,12,6,0,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,2,0,6,0,4,2,0,5,7,9,0,13,13,13,11,0,10,12,1,0,0,9,0,0,0,0,13,0,0,0,0,11,10,9,13,13,6,0,13,0,0,13,13,12,0,0,0,0,0,0,0,0,13,13,7,0,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,4,0,2,2,0,4,6,8,0,8,12,12,11,0,0,8,1,0,0,3,0,0,0,0,12,0,0,0,0,10,12,8,12,11,5,0,12,0,0,12,12,12,0,0,0,9,0,0,0,0,12,11,7,0,0,0,0,0,0,0,0,0
10,0,0,3,0,0,0,1,0,8,0,3,2,0,4,5,7,0,16,13,9,6,0,9,5,1,0,0,6,0,0,0,0,14,0,0,0,0,11,9,11,13,13,6,0,15,0,0,14,10,13,0,0,0,0,0,0,0,0,12,14,6,5,0,0,0,0,0,0,0,0
13,0,0,3,0,0,0,2,0,5,0,6,5,0,4,9,11,0,13,14,11,18,0,0,8,1,0,0,12,0,0,0,0,17,0,0,0,0,15,17,10,16,14,11,0,6,0,0,17,17,17,0,0,0,11,0,0,0,0,18,17,7,7,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,2,0,4,0,3,3,0,4,5,8,0,14,10,6,10,0,0,8,1,0,0,5,0,0,0,0,11,0,0,0,0,13,7,9,12,11,5,0,9,0,0,10,11,10,0,0,0,9,0,0,0,0,10,10,7,8,0,0,0,0,0,0,0,0
13,0,0,3,0,0,0,1,0,11,0,4,2,0,5,5,13,0,17,15,7,3,0,0,0,2,0,16,10,0,0,0,0,16,0,0,0,0,13,9,12,16,16,10,0,10,0,0,15,15,15,0,0,0,12,3,0,0,0,16,14,8,6,0,0,0,0,0,0,0,0
6,0,0,2,0,0,0,1,0,7,0,2,1,0,3,6,7,0,12,8,8,12,0,0,0,2,0,10,4,0,0,0,0,10,0,0,0,0,10,11,5,10,10,4,0,10,0,0,8,10,8,0,0,0,6,1,0,0,0,9,8,4,3,0,0,0,0,0,0,0,0
9,0,0,5,0,0,0,2,0,8,0,4,5,0,8,11,10,0,14,14,7,8,0,0,0,6,0,14,12,0,0,0,0,14,0,0,0,0,14,12,10,14,14,12,0,13,0,0,14,14,14,0,0,0,10,1,0,0,0,14,14,6,3,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,6,0,2,3,0,6,14,8,0,4,11,12,9,0,0,0,4,0,14,5,0,0,0,0,14,0,0,0,0,12,13,8,13,13,8,0,15,0,14,14,14,10,0,0,0,9,6,0,0,0,14,14,7,7,0,0,0,0,0,0,0,0
8,0,0,7,0,0,0,3,0,11,0,2,2,0,4,10,5,0,11,10,11,13,0,0,0,3,0,10,5,0,0,0,0,10,0,0,0,0,9,9,6,10,8,9,0,12,0,10,10,10,10,0,0,0,7,12,0,0,0,9,9,1,5,0,0,0,0,0,0,0,0
16,0,0,5,0,0,0,2,0,11,0,4,4,0,8,11,9,0,17,14,8,8,0,0,0,7,0,14,14,0,0,0,0,14,0,0,0,0,14,12,11,14,13,11,0,15,0,14,14,14,14,0,0,0,10,1,0,0,0,12,13,6,3,0,0,0,0,0,0,0,0
8,0,0,5,0,0,0,1,0,4,0,3,3,0,4,5,7,0,7,11,4,9,0,0,0,2,0,11,4,0,0,0,0,11,0,0,0,0,10,7,7,11,11,6,0,4,0,11,11,11,9,0,0,0,8,4,0,0,0,9,9,6,6,0,0,0,0,0,0,0,0
13,0,0,7,0,0,0,1,0,9,0,8,5,0,6,10,18,0,2,15,21,3,0,0,0,4,0,20,12,0,0,0,0,20,0,0,0,0,17,14,15,20,20,9,0,21,0,20,17,20,16,0,0,0,13,14,0,0,0,19,19,11,12,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,4,0,8,0,2,5,0,7,8,10,0,13,13,14,12,0,11,0,2,0,13,10,0,0,0,0,13,0,0,0,0,12,8,8,12,12,9,0,15,0,13,13,13,13,0,0,0,0,1,0,0,0,13,13,6,3,0,0,0,0,0,0,0,0
11,0,0,6,0,0,0,2,0,7,0,5,3,0,7,7,10,0,4,13,14,5,0,11,0,1,0,16,9,0,0,0,0,16,0,0,0,0,11,17,10,15,16,9,0,16,0,16,16,16,15,0,0,0,0,12,0,0,0,16,15,8,11,0,0,0,0,0,0,0,0
11,0,0,6,0,0,0,1,0,8,0,4,3,0,5,6,9,0,14,12,8,6,0,0,0,5,0,17,10,0,0,0,0,17,0,0,0,0,13,11,10,17,14,11,0,17,0,17,17,15,17,0,0,0,16,2,0,0,0,17,15,7,6,0,0,0,0,0,0,0,0
9,0,0,3,0,0,0,1,0,8,0,1,4,0,4,5,7,0,10,13,2,14,0,0,0,3,0,13,3,0,0,0,0,13,0,13,0,0,0,10,7,13,11,6,0,4,0,13,13,11,12,0,0,0,9,1,0,0,13,13,12,0,3,0,0,0,0,0,0,0,0
9,0,0,2,0,0,0,1,0,9,0,2,2,0,7,5,9,0,13,13,3,11,0,8,0,2,0,13,2,0,0,0,0,13,0,0,11,0,0,12,8,13,13,6,0,11,0,13,13,13,10,0,0,0,0,5,0,0,0,12,10,4,5,0,0,0,0,0,0,0,0
14,0,0,5,0,0,0,1,0,6,0,2,4,0,6,11,11,0,15,13,10,12,0,8,0,2,0,14,3,0,0,0,0,14,0,14,0,0,13,13,7,14,14,4,0,14,0,14,14,14,9,0,0,0,0,14,0,0,0,13,14,6,10,0,0,0,0,0,0,0,0
12,0,0,4,0,0,0,5,0,20,0,7,7,0,8,7,9,0,17,17,14,21,0,0,0,13,0,18,15,0,0,0,0,18,0,19,0,0,16,12,10,18,19,11,0,18,0,18,14,18,18,2,0,0,11,1,0,0,0,13,18,6,3,0,0,0,0,0,0,0,0
16,0,0,4,0,0,0,2,0,5,0,3,2,0,6,10,17,0,18,16,7,19,0,0,0,1,0,16,4,0,0,0,0,16,0,12,0,0,13,15,8,16,16,7,0,6,0,16,15,14,16,10,0,0,11,5,0,0,0,14,14,9,7,0,0,0,0,0,0,0,0
19,0,0,6,0,0,0,3,0,12,0,4,5,0,10,17,11,0,22,19,18,23,0,0,0,1,0,20,8,0,0,0,0,20,0,20,0,0,20,15,14,20,21,11,0,16,0,20,16,20,17,7,0,0,13,2,0,0,0,17,20,12,9,0,0,0,0,0,0,0,0
11,0,0,6,0,0,0,2,0,12,0,4,5,0,7,14,9,0,13,16,11,18,0,10,0,8,0,17,8,0,0,0,0,17,0,17,0,0,16,15,11,17,17,17,0,15,0,16,16,17,16,3,0,0,0,1,0,0,0,12,16,8,5,0,0,0,0,0,0,0,0
12,0,0,5,0,0,0,1,0,9,0,4,3,0,5,7,10,0,2,12,5,4,0,9,0,2,0,12,5,0,0,12,0,12,0,12,0,0,12,8,9,12,12,6,0,7,0,12,12,12,12,13,0,0,0,13,0,0,0,11,12,8,10,0,0,0,0,0,0,0,0
12,0,0,4,0,0,0,1,0,10,0,5,3,0,6,6,11,0,13,14,3,8,0,10,0,2,0,16,11,0,0,16,0,17,0,16,0,0,16,13,9,16,15,8,0,5,0,16,13,16,16,8,0,10,0,4,0,0,0,18,16,7,8,0,0,0,0,0,0,0,0
