"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,18,0,9,0,0,0,11,16,14,10,8,22,23,12,13,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,20,0,0,0,19,0,0,0,0,0,0,3,24,0,15,0,7,6,0,0,2,4,0,17,0,0,0,0,0,0,0,0,0
0,15,0,5,0,0,0,14,20,18,10,2,25,24,12,13,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,23,0,0,0,21,11,0,0,0,0,0,7,26,0,19,0,8,9,0,0,3,6,0,16,0,0,0,0,0,0,0,0,0
0,21,0,2,0,0,0,17,16,12,13,7,24,23,22,20,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,19,10,0,0,0,0,0,5,25,0,9,0,8,11,0,6,4,0,0,18,0,0,0,0,0,0,0,0,0
0,20,0,3,0,0,0,16,21,7,13,9,24,23,19,17,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,18,0,0,0,0,0,0,4,25,0,15,0,8,5,0,6,1,12,0,22,0,0,0,0,0,0,0,0,0
0,21,0,10,0,0,0,18,22,16,13,14,25,24,12,19,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,0,0,0,17,8,0,0,0,0,0,4,26,0,20,0,11,6,0,5,1,2,0,15,0,0,0,0,0,0,0,0,0
0,13,0,1,0,0,0,23,16,9,18,3,21,22,20,11,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,15,0,0,0,14,0,0,0,0,0,0,2,25,0,12,0,8,10,0,0,4,7,0,19,0,0,0,0,0,0,0,0,0
0,8,0,1,0,5,0,19,0,17,6,3,18,16,4,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,15,0,0,0,0,0,9,23,0,14,0,0,11,0,0,0,12,22,13,0,0,0,0,0,0,0,0,0
0,8,0,1,0,3,0,18,0,14,6,4,22,21,5,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,16,0,0,0,0,0,10,23,0,20,0,0,11,0,0,0,12,19,13,0,0,0,0,0,0,0,0,0
0,8,10,1,0,3,0,17,0,15,4,5,18,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,13,0,0,0,0,0,7,22,0,20,0,12,11,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0
0,6,10,1,0,5,0,17,0,11,4,3,19,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,18,0,0,0,0,0,7,22,0,21,0,16,13,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0
