"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
7,0,0,4,0,0,3,1,0,9,0,3,0,0,5,7,7,0,2,0,11,6,0,0,0,12,0,0,11,0,0,0,0,13,0,0,0,0,0,7,8,13,13,9,0,13,0,0,11,13,13,6,0,0,10,0,0,0,0,9,14,7,0,0,0,0,0,0,0,0,0
13,0,0,5,0,0,0,1,0,14,0,2,4,0,4,6,13,0,10,14,13,7,0,10,3,13,0,0,11,0,0,0,0,14,0,0,0,0,8,8,9,14,16,12,0,13,0,0,14,14,14,0,0,0,0,0,0,0,0,10,15,7,0,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,1,0,7,0,4,5,0,2,8,13,0,15,10,11,11,0,0,8,9,0,0,14,0,0,0,0,14,0,0,0,0,6,14,11,14,6,12,0,14,0,0,14,14,14,0,0,0,10,0,0,0,0,10,10,7,0,0,0,0,0,0,0,0,0
4,0,0,3,0,0,0,1,0,11,0,2,5,0,5,7,12,0,15,6,12,13,0,0,0,10,0,0,10,0,0,0,0,12,0,0,0,0,3,12,9,12,2,10,0,12,0,0,12,12,12,0,0,0,9,14,0,0,0,8,12,6,0,0,0,0,0,0,0,0,0
10,0,0,7,0,0,0,3,0,10,0,4,6,0,7,8,15,0,20,17,17,9,0,14,2,13,0,0,16,0,0,0,0,19,0,0,0,0,5,11,12,17,1,12,0,17,0,0,19,19,19,0,0,0,0,0,0,0,0,18,17,11,0,0,0,0,0,0,0,0,0
4,0,0,2,0,0,0,1,0,7,0,2,3,0,5,6,7,0,7,12,7,7,0,0,3,7,0,0,8,0,0,0,0,10,0,0,0,0,10,5,7,9,3,7,0,11,0,0,9,10,10,0,0,0,7,0,0,0,0,7,9,6,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,1,0,5,0,2,3,0,2,6,6,0,13,11,11,13,0,7,1,8,0,0,10,0,0,0,0,12,0,0,0,0,4,12,8,12,2,9,0,12,0,0,12,12,12,0,0,0,0,0,0,0,0,7,11,4,4,0,0,0,0,0,0,0,0
6,0,0,4,0,0,0,2,0,7,0,3,4,0,4,7,12,0,14,14,13,8,0,0,3,11,0,0,12,0,0,0,0,13,0,0,0,0,4,7,8,14,1,9,0,14,0,0,14,14,14,0,0,0,10,0,0,0,0,10,14,6,5,0,0,0,0,0,0,0,0
6,0,0,2,0,0,0,2,0,8,0,2,3,0,5,9,10,0,11,14,14,10,0,0,4,9,0,0,14,0,0,0,0,15,0,0,0,0,7,9,9,15,1,9,0,16,0,0,16,16,16,0,0,0,12,0,0,0,0,10,13,7,7,0,0,0,0,0,0,0,0
10,0,0,7,0,0,0,2,0,12,0,3,6,0,5,9,14,0,7,9,14,7,0,0,0,12,0,16,15,0,0,0,0,16,0,0,0,0,4,15,10,14,1,14,0,16,0,0,16,16,16,0,0,0,14,5,0,0,0,11,13,7,8,0,0,0,0,0,0,0,0
7,0,0,5,0,0,0,2,0,7,0,5,5,0,3,6,8,0,7,11,11,5,0,0,0,9,0,13,11,0,0,0,0,13,0,0,0,0,5,8,8,12,1,7,0,13,0,0,13,13,13,0,0,0,8,4,0,0,0,10,12,7,7,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,2,0,6,0,1,1,0,3,6,10,0,7,12,12,6,0,0,0,7,0,13,8,0,0,0,0,13,0,0,0,0,4,7,10,11,1,10,0,13,0,0,13,13,13,0,0,0,9,3,0,0,0,14,13,5,11,0,0,0,0,0,0,0,0
