"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,20,0,4,0,0,0,9,10,11,18,6,1,15,14,16,0,0,0,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,22,0,0,0,2,21,0,0,0,0,0,19,0,0,3,0,17,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0
0,10,0,1,0,0,0,7,12,14,9,18,8,15,17,16,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,20,0,0,0,0,0,6,0,0,0,0,13,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0
0,22,0,2,0,0,0,1,18,15,13,20,6,5,21,23,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,19,0,0,0,10,24,0,0,0,0,0,8,0,0,7,0,11,0,0,14,12,16.5,0,4,0,0,0,0,0,0,0,0,0
0,10,0,5,0,0,0,2,19,15,17,22,11,14,9,16,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21,0,0,0,7,23,0,0,0,0,0,13,0,0,4,0,20,0,0,18,3,0,0,8,0,0,0,0,0,0,0,0,0
0,12,0,8,0,0,0,2,19,14,17,20,9,6,15,21,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,0,0,13,22,0,0,0,0,0,0,0,0,0,0,10,0,0,11,3,5,0,7,0,0,0,0,0,0,0,0,0
0,7,0,4,0,0,0,3,14,18,17,19,13,9,11,16,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,12,21,0,0,0,0,0,0,0,0,8,0,5,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0
0,2,0,5,0,3,0,9,0,13,1,12,10,14,7,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,17,18.5,0,18.5,0,0,0,0,0,0,21,16,4,0,0,0,0,0,0,0,0,0
0,2,0,3,0,4,0,7,0,16,1,17,15,11,6,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,10,19,0,0,0,0,0,18,0,0,21,0,0,0,0,0,0,14,13,5,0,0,0,0,0,0,0,0,0
0,2,10,8,0,3,0,7,0,12,1,15,20,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,19,0,0,0,0,0,17,0,0,18,0,9,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0
0,5,12,8,0,4,0,13,0,9,1,10,18,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,14,15,0,0,0,0,0,20,0,0,19,0,7,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0
