"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
9,0,0,2,0,0,3,1,0,8,0,3,0,0,4,7,7,0,9,0,8,13,0,0,0,9,0,0,10,0,0,0,0,11,0,0,0,0,0,11,6,11,11,8,0,11,0,0,7,11,9,3,0,0,9,0,0,0,0,5,12,10,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,1,0,6,0,3,3,0,4,12,7,0,6,11,10,13,0,13,2,13,0,0,11,0,0,0,0,11,0,0,0,0,7,13,9,11,11,6,0,11,0,0,11,11,11,0,0,0,0,0,0,0,0,8,11,6,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,0,1,0,7,0,2,1,0,3,9,5,0,4,7,7,11,0,0,6,7,0,0,7,0,0,0,0,8,0,0,0,0,7,9,6,7,10,8,0,6,0,0,8,8,8,0,0,0,7,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0
4,0,0,4,0,0,0,1,0,13,0,3,2,0,9,14,5,0,4,12,8,14,0,0,0,7,0,0,6,0,0,0,0,12,0,0,0,0,9,14,11,8,12,10,0,8,0,0,12,12,12,0,0,0,12,14,0,0,0,13,12,8,0,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,1,0,10,0,4,2,0,2,7,8,0,7,6,7,6,0,6,11,6,0,0,9,0,0,0,0,7,0,0,0,0,9,8,6,7,7,4,0,9,0,0,7,7,7,0,0,0,0,0,0,0,0,4,7,6,0,0,0,0,0,0,0,0,0
4,0,0,3,0,0,0,2,0,4,0,1,2,0,2,13,9,0,10,11,11,15,0,0,10,8,0,0,8,0,0,0,0,11,0,0,0,0,11,14,12,11,11,5,0,11,0,0,11,11,11,0,0,0,5,0,0,0,0,7,11,6,0,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,3,0,15,0,2,14,0,3,15,4,0,9,10,10,13,0,5,16,6,0,0,12,0,0,0,0,11,0,0,0,0,11,10,8,10,11,7,0,11,0,0,11,11,11,0,0,0,0,0,0,0,0,10,13,3,2,0,0,0,0,0,0,0,0
6,0,0,1,0,0,0,1,0,11,0,1,2,0,2,5,4,0,3,9,12,10,0,0,1,11,0,0,5,0,0,0,0,10,0,0,0,0,8,5,2,7,12,8,0,10,0,0,10,10,10,0,0,0,4,0,0,0,0,8,12,1,2,0,0,0,0,0,0,0,0
8,0,0,1,0,0,0,2,0,15,0,4,3,0,5,7,8,0,11,14,15,12,0,0,4,12,0,0,9,0,0,0,0,14,0,0,0,0,17,11,11,13,14,10,0,17,0,0,14,14,14,0,0,0,16,0,0,0,0,14,14,6,5,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,1,0,8,0,2,4,0,6,9,6,0,7,5,6,9,0,0,0,7,0,8,6,0,0,0,0,8,0,0,0,0,5,8,6,6,7,5,0,8,0,0,8,8,8,0,0,0,6,10,0,0,0,6,5,5,8,0,0,0,0,0,0,0,0
11,0,0,2,0,0,0,1,0,10,0,3,2,0,2,4,6,0,5,7,7,4,0,0,0,10,0,10,7,0,0,0,0,5,0,0,0,0,10,5,5,6,11,5,0,10,0,0,10,10,10,0,0,0,10,9,0,0,0,7,11,5,8,0,0,0,0,0,0,0,0
7,0,0,2,0,0,0,1,0,11,0,4,2,0,3,9,10,0,10,11,11,11,0,0,0,11,0,11,6,0,0,0,0,5,0,0,0,0,11,9,7,10,11,5,0,11,0,0,10,11,11,0,0,0,11,3,0,0,0,8,11,5,4,0,0,0,0,0,0,0,0
9,0,0,3,0,0,0,1,0,4,0,3,2,0,4,14,7,0,10,12,13,15,0,0,0,9,0,13,12,0,0,0,0,13,0,0,0,0,12,15,6,13,12,13,0,13,0,13,13,13,13,0,0,0,12,9,0,0,0,11,12,8,5,0,0,0,0,0,0,0,0
9,0,0,5,0,0,0,1,0,6,0,4,2,0,3,12,11,0,17,17,18,19,0,0,0,15,0,20,15,0,0,0,0,13,0,0,0,0,20,9,10,18,18,8,0,20,0,20,20,14,20,0,0,0,13,5,0,0,0,16,18,7,6,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,1,0,4,0,3,2,0,4,8,5,0,9,11,13,12,0,0,0,10,0,11,7,0,0,0,0,11,0,0,0,0,12,10,6,10,11,9,0,13,0,11,11,7,11,0,0,0,8,11,0,0,0,10,10,5,10,0,0,0,0,0,0,0,0
14,0,0,3,0,0,0,1,0,17,0,2,3,0,11,15,5,0,15,15,8,13,0,0,0,11,0,15,7,0,0,0,0,15,0,0,0,0,15,9,4,15,15,13,0,16,0,15,12,12,15,0,0,0,6,16,0,0,0,10,15,3,3,0,0,0,0,0,0,0,0
