"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,17,0,13,0,0,0,14,19,12,10,7,24,23,16,9,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,0,0,0,22,8,0,0,0,0,0,3,25,0,11,0,4,2,0,0,18,5,0,21,0,0,0,0,0,0,0,0,0
0,17,0,12,0,0,0,9,10,8,16,1,25,23,18,15,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,19,0,0,0,22,11,0,0,0,0,0,3,24,0,0,0,7,4,0,0,13,6,0,14,0,0,0,0,0,0,0,0,0
0,21,0,8,0,0,0,16,11,6,12,2,23,24,17,18,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,20,0,0,0,0,0,0,5,25,0,19,0,15,7,0,4,3,9,0,22,0,0,0,0,0,0,0,0,0
0,18,0,9,0,0,0,12,13,19,14,5,24,22,11,8,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,0,0,21,0,0,0,0,0,0,2,23,0,15,0,7,4,0,10,3,0,0,16,0,0,0,0,0,0,0,0,0
0,11,0,7,0,0,0,21,22,13,14,12,23,24,9,16,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,15,0,0,0,20,8,0,0,0,0,0,3,25,0,10,0,0,2,0,1,18,5,0,19,0,0,0,0,0,0,0,0,0
0,15,0,7,0,0,0,20,22,17,14,1,25,19,18,12,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,16,0,0,0,24,9,0,0,0,0,0,3,26,0,8,0,10,6,0,0,4,13,0,21,0,0,0,0,0,0,0,0,0
0,15,0,4,0,2,0,13,0,17,5,3,14,9,6,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,11,0,0,0,0,0,8,21,0,18,0,0,10,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0
0,15,0,3,0,1,0,8,0,18,5,4,21,12,6,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,13,0,0,0,0,0,7,23,0,22,0,0,11,0,0,0,16,19,10,0,0,0,0,0,0,0,0,0
0,19,8,2,0,3,0,13,0,7,5,4,18,11,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,12,0,0,0,0,0,6,21,0,20,0,9,10,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0
0,14,11,2,0,3,0,8,0,9,5,4,17,7,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,12,0,0,0,0,0,6,21,0,19,0,10,13,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0
