"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
7,0,0,4,0,0,3,1,0,6,0,2,0,0,5,13,8,0,13,0,13,13,0,0,0,12,0,0,11,0,0,0,0,13,0,0,0,0,0,8,11,13,13,12,0,13,0,0,9,13,13,4,0,0,10,0,0,0,0,9,12,10,0,0,0,0,0,0,0,0,0
5,0,0,4,0,0,0,3,0,3,0,2,1,0,4,4,7,0,13,13,12,13,0,12,7,13,0,0,10,0,0,0,0,13,0,0,0,0,9,13,8,4,13,11,0,13,0,0,13,13,13,0,0,0,0,0,0,0,0,13,13,6,0,0,0,0,0,0,0,0,0
6,0,0,2,0,0,0,1,0,4,0,2,2,0,2,13,5,0,14,14,14,14,0,0,15,12,0,0,9,0,0,0,0,14,0,0,0,0,14,8,7,3,14,11,0,14,0,0,14,14,14,0,0,0,10,0,0,0,0,14,14,9,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,5,0,4,2,0,6,7,9,0,15,22,23,18,0,0,0,14,0,0,14,0,0,0,0,20,0,0,0,0,13,10,11,3,21,13,0,16,0,0,20,19,17,0,0,0,12,24,0,0,0,21,20,8,0,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,6,0,4,2,0,5,8,14,0,17,15,19,19,0,13,7,16,0,0,12,0,0,0,0,16,0,0,0,0,10,13,11,16,19,14,0,19,0,0,19,19,19,0,0,0,0,0,0,0,0,18,17,9,0,0,0,0,0,0,0,0,0
3,0,0,2,0,0,0,1,0,3,0,1,1,0,2,4,7,0,13,12,9,14,0,0,15,7,0,0,7,0,0,0,0,12,0,0,0,0,6,3,4,1,12,5,0,11,0,0,12,12,10,0,0,0,12,0,0,0,0,8,12,3,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,5,0,3,2,0,6,7,8,0,15,15,14,15,0,13,9,11,0,0,12,0,0,0,0,15,0,0,0,0,13,15,10,4,15,12,0,15,0,0,15,14,15,0,0,0,0,0,0,0,0,15,15,9,9,0,0,0,0,0,0,0,0
12,0,0,4,0,0,0,1,0,8,0,5,2,0,6,7,11,0,15,16,15,15,0,0,12,15,0,0,13,0,0,0,0,15,0,0,0,0,13,10,10,3,15,12,0,15,0,0,15,15,15,0,0,0,13,0,0,0,0,14,15,9,10,0,0,0,0,0,0,0,0
5,0,0,4,0,0,0,1,0,5,0,3,2,0,4,5,7,0,9,9,9,9,0,0,5,9,0,0,8,0,0,0,0,8,0,0,0,0,9,10,6,8,9,7,0,9,0,0,8,9,9,0,0,0,8,0,0,0,0,9,9,5,5,0,0,0,0,0,0,0,0
9,0,0,5,0,0,0,1,0,6,0,4,2,0,7,10,8,0,12,12,12,12,0,0,0,12,0,12,12,0,0,0,0,12,0,0,0,0,12,11,12,3,12,10,0,12,0,0,12,12,12,0,0,0,12,12,0,0,0,12,12,9,10,0,0,0,0,0,0,0,0
8,0,0,5,0,0,0,2,0,5,0,4,3,0,6,13,9,0,16,16,15,16,0,0,0,16,0,17,12,0,0,0,0,16,0,0,0,0,14,12,10,1,16,12,0,15,0,0,15,16,16,0,0,0,11,18,0,0,0,16,16,7,15,0,0,0,0,0,0,0,0
9,0,0,5,0,0,0,2,0,6,0,4,3,0,6,7,5,0,19,19,16,19,0,0,0,15,0,6,14,0,0,0,0,19,0,0,0,0,13,16,11,1,19,12,0,16,0,0,19,17,19,0,0,0,10,20,0,0,0,19,19,8,18,0,0,0,0,0,0,0,0
13,0,0,7,0,0,0,4,0,10,0,6,3,0,8,11,2,0,16,16,16,16,0,0,0,16,0,5,15,0,0,0,0,16,0,0,0,0,16,15,15,1,16,14,0,16,0,16,16,16,16,0,0,0,15,9,0,0,0,16,16,12,15,0,0,0,0,0,0,0,0
6,0,0,5,0,0,0,1,0,6,0,5,2,0,6,6,5,0,6,6,6,6,0,0,0,6,0,6,6,0,0,0,0,6,0,0,0,0,6,6,6,3,6,6,0,6,0,6,6,6,6,0,0,0,6,4,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0
12,0,0,5,0,0,0,1,0,8,0,4,2,0,7,10,9,0,19,22,21,18,0,0,0,17,0,22,13,0,0,0,0,22,0,0,0,0,15,17,16,3,20,15,0,17,0,20,20,20,20,0,0,0,14,6,0,0,0,19,19,11,11,0,0,0,0,0,0,0,0
11,0,0,5,0,0,0,2,0,7,0,3,3,0,4,9,6,0,15,14,15,15,0,0,0,16,0,15,13,0,0,0,0,15,0,0,0,0,16,10,14,1,16,14,0,15,0,15,15,13,15,0,0,0,12,16,0,0,0,15,15,8,10,0,0,0,0,0,0,0,0
12,0,0,4,0,0,0,1,0,6,0,2,2,0,4,4,3,0,13,16,18,12,0,0,0,19,0,4,11,0,0,0,0,12,0,0,0,0,12,11,8,5,15,8,0,14,0,17,16,10,16,0,0,0,9,5,0,0,0,14,15,8,7,0,0,0,0,0,0,0,0
