"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,15,0,2,0,0,0,12,8,7,11,1,18,6,3,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17,14,0,16,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0
0,10.5,0,5,0,0,0,14,7,3,13,1,12,9,8,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,3,11,10,5,1,15,12,8,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,2,0,0,0,0,0,0,0,0,0
0,13,0,4,0,0,0,9,10,5,11,1,14,12,2,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,7,16,0,0,6,0,0,0,0,0,0,0,0,0
0,15,0,2,0,0,0,19,11,3,8,1,18,10,4,12,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,16,0,0,5,9,0,0,6,0,0,0,0,0,0,0,0,0
0,12,0,2,0,0,0,13,9,4,11,1,14,6,5,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0
0,16.5,0,3,0,4,0,10,0,5,11,1,8,7,6,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0
0,0,0,5,0,4,0,8,0,3,12,1,11,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0
0,9,10,5,0,7,0,8,0,3,12,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0
0,20,10,2,0,8,0,6,0,4,9,1,7,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,21,0,0,0,0,0,0,0,18,14,0,0,0,0,0,16,15,0,17,0,19,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0
0,10,0,4,0,3,0,2,0,5,9,1,11,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0
0,14,10,6,2,0,0,5,0,3,11,1,13,8,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0
0,15,10,5,2,0,0,6,0,4,14,1,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,13,0,0,0,0,0,0,17,0,0,11,0,0,0,0,0,0,9,0,3,7,0,0,0,0,0,0,0,0
0,17,11,2,3,0,0,12,0,7,4,1,8,9,6,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,13,14.5,0,0,0,0,0,16,20,0,19,0,0,0,0,0,0,18,0,5,10,0,0,0,0,0,0,0,0
0,15,9,2,3,0,0,12,0,6,5,1,10,8,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,14,0,4,11,0,0,0,0,0,0,0,0
0,20,11,4,3,9,0,13,0,8,6,1,15,10,12,2,0,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,17,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,18,19,5,14,0,0,0,0,0,0,0,0
0,22,11,10,3,7,0,12,0,9,4,1,14,13,8,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,24,0,0,0,0,17,0,0,0,0,0,0,0,0,0,23,0,18.5,0,0,20,0,0,0,0,16,21,5,15,0,0,0,0,0,0,0,0
0,18,10,7,4,0,0,12,0,9,3,1,0,6,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,16,13,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,0,0,15,8,11,0,0,0,0,0,0,0,0
0,19,6,7,5,0,0,12,0,9,2,1,11,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,13,17,0,0,14,0,0,0,0,0,0,20,0,0,0,0,18,0,0,0,0,0,15,8,10,0,0,0,0,0,0,0,0
0,24,12,5,3,9,0,15,0,13,7,1,8,6,11,2,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0,0,17,22,0,0,16,0,0,0,0,0,0,25,0,0,0,0,19,0,0,0,0,0,18,10,14,0,0,0,0,0,0,0,0
0,23,13,8,2,3,0,18,0,14,5,1,9,4,11,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,20,15,0,0,0,0,0,0,0,0,22,24,0,17,0,0,0,0,0,0,0,0,21,10,16,0,0,0,0,0,0,0,0
0,16,9,8,2,0,0,10,0,11,0,1,5,6,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,14,17,0,0,0,0,15,0,0,0,20,22,0,13,0,0,0,0,0,0,0,0,19,7,12,0,0,0,0,0,0,0,0
0,13,11,7,3,0,0,10,0,9,0,1,2,6,0,4,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,0,0,19,21,0,0,0,0,16,0,0,0,22,24,0,0,16,0,0,14,0,0,0,0,18,8,12,0,0,0,0,0,0,0,0
0,16,12,7,2,0,0,10,0,8,0,1,5,4,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,21,19,0,0,15,17,0,0,0,0,0,0,0,0,20,22,0,13,0,0,0,0,0,0,0,0,18,9,11,0,0,0,0,0,0,0,0
0,21,11,9,2,0,0,10,0,8,0,1,4,6,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,18,23,0,0,15.5,0,13,0,0,0,25,26,19.5,14,15.5,0,0,19.5,0,0,0,0,17,7,12,0,0,0,0,0,0,0,0
0,17,8,4,6,0,0,16,0,9,3,1,2,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,22,19,0,0,12,13,0,0,0,0,0,0,0,0,21,23,0,14,15,0,0,0,0,0,0,0,18,10,11,0,0,0,0,0,0,0,0
0,20,11,2,5,0,0,10,0,8,4,1,3,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,12,13,0,0,0,0,0,0,0,0,22,23,0,16.5,16.5,0,0,15,0,0,0,0,19,9,14,0,0,0,0,0,0,0,0
0,22,10,2,5,0,0,14,0,9,4,1,3,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0,0,12,15,0,0,21,23,17,0,0,0,24,26,0,18.5,18.5,0,0,20,0,0,0,0,13,8,11,0,0,0,0,0,0,0,0
0,17,9,2,5,0,0,12,0,10,4,1,3,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,0,13,14,0,0,23,20,16,0,0,0,25,26,0,22,19,0,0,21,0,0,0,0,18,8,11,0,0,0,0,0,0,0,0
0,22,10,2,5,0,0,11,0,8,4,1,3,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,12,19,0,0,0,17,17,0,0,0,21,24,0,17,14,0,0,0,0,0,0,0,15,9,13,0,0,0,0,0,0,0,0
0,22,10,2,4,0,0,12,0,9,5,1,3,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,26,23,0,0,13,20,0,0,15.5,18,18,0,0,0,24,25,0,15.5,14,0,0,0,0,0,0,0,21,8,11,0,0,0,0,0,0,0,0
0,22,12,3,4,0,0,10,0,8,5,1,2,0,0,6,0,0,0,0,17.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,25,20,0,0,14,13,0,0,0,0,0,0,0,0,23,24,0,21,15,0,0,16,0,0,0,0,19,9,11,0,0,0,0,0,0,0,0
0,17,10,2,5,0,0,13,0,8,4,1,3,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,14,15,0,0,0,0,0,0,0,0,20,22,0,19,0,0,0,16,0,0,0,0,12,9,11,0,0,0,0,0,0,0,0
