"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
12,10,8,6,3,3,0,1,0,9,3,2,0,3,6,4,15,5,17,0,0,0,0,0,0,11,0,0,0,0,17,11,0,11,17,13,16,0,0,0,0,17,0,0,0,0,0,7,14,17,17,3,0,0,0,0,0,0,0,0,0
12,11,7,5,4,0,0,1,0,8,2,2,9,0,6,10,10,4,16,0,0,0,0,0,0,0,0,0,0,0,16,16,15,19,18,15,15,0,0,0,0,17,0,0,0,0,0,13,14,16,17,3,0,0,0,0,0,0,0,0,0
14,13,10,6,4,0,0,1,0,11,5,2,12,2,7,9,12,8,20,0,0,0,0,21,0,0,0,0,0,0,19,0,16,18,20,17,17,0,0,0,0,20,0,0,0,0,0,10,15,20,19,3,0,0,0,0,0,0,0,0,0
11,12,8,8,4,0,0,1,0,9,6,5,10,3,6,8,9,7,16,0,0,0,0,12,0,0,0,0,0,0,16,0,16,17,16,13,14,0,0,0,0,16,0,0,0,0,0,9,15,16,16,2,0,0,0,0,0,0,0,0,0
12,10,7,5,2,0,0,1,0,10,4,3,9,2,3,8,11,6,16,0,0,0,0,6,0,0,0,0,0,0,16,0,15,12,16,13,14,0,0,0,0,16,0,0,0,0,0,9,15,16,16,5,0,0,0,0,0,0,0,0,0
16,12,9,7,4,0,0,1,0,11,2,5,20,2,5,8,15,6,19,0,0,0,0,0,0,0,20,0,0,0,18,0,18,13,20,20,17,0,0,0,0,18,0,0,19,0,0,10,14,18,20,3,0,0,0,0,0,0,0,0,0
8,7,6,5,3,0,0,2,0,8,4,3,12,3,3,6,10,5,13,0,0,0,0,0,0,0,15,14,0,0,14,5,11,15,15,16,10,0,0,0,0,15,0,0,0,0,0,9,12,15,13,1,0,0,0,0,0,0,0,0,0
13,12,7,7,2,0,0,1,0,9,3,3,13,2,4,8,10,5,19,0,0,0,0,6,0,0,0,18,0,0,19,0,16,16,19,17,15,0,19,0,0,19,0,0,11,0,0,13,14,19,18,2,0,0,0,0,0,0,0,0,0
11,12,9,6,5,0,0,1,0,11,4,3,10,2,6,8,10,7,15,0,0,0,0,0,0,0,0,18,0,0,18,9,18,18,18,17,16,0,18,0,0,18,0,0,13,0,0,8,14,18,18,2,0,0,0,0,0,0,0,0,0
14,12,10,8,3,0,0,1,0,11,5,6,12,2,7,10,12,9,17,0,0,0,0,18,0,0,0,18,0,0,18,0,18,15,18,18,16,0,17,0,0,18,0,0,16,0,0,9,13,18,18,4,0,0,0,0,0,0,0,0,0
13,11,8,6,3,0,0,1,0,12,3,4,9,2,6,7,10,5,17,0,0,0,0,18,0,0,18,18,0,0,18,0,17,11,18,16,14,0,15,18,0,18,0,0,0,0,0,12,16,18,17,5,0,0,0,0,0,0,0,0,0
10,11,8,5,3,0,0,1,0,9,3,4,8,2,5,7,12,6,16,0,0,0,0,16,0,0,0,0,0,0,17,0,16,16,17,15,14,0,14,15,0,17,0,0,17,17,0,10,13,17,17,2,0,0,0,0,0,0,0,0,0
