"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
8,0,0,2,0,0,2,2,0,6,0,1,0,0,3,7,8,0,10,0,11,9,0,0,0,6,0,0,5,0,0,0,0,12,0,0,0,0,0,5,6,14,13,6,0,13,0,0,12,14,12,4,0,0,9,0,0,0,0,9,13,8,0,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,2,0,5,0,1,3,0,4,6,7,0,9,11,11,7,0,9,4,7,0,0,5,0,0,0,0,11,0,0,0,0,10,5,6,12,11,7,0,11,0,0,12,12,11,0,0,0,0,0,0,0,0,11,11,6,0,0,0,0,0,0,0,0,0
9,0,0,3,0,0,0,2,0,6,0,1,3,0,4,7,8,0,10,12,12,9,0,0,5,9,0,0,7,0,0,0,0,12,0,0,0,0,11,6,7,13,13,8,0,12,0,0,13,13,12,0,0,0,9,0,0,0,0,12,12,7,0,0,0,0,0,0,0,0,0
8,0,0,2,0,0,0,2,0,4,0,1,2,0,3,7,8,0,9,10,10,9,0,0,0,7,0,0,4,0,0,0,0,10,0,0,0,0,10,5,6,10,10,7,0,10,0,0,10,10,10,0,0,0,9,3,0,0,0,10,10,7,0,0,0,0,0,0,0,0,0
10,0,0,3,0,0,0,2,0,6,0,1,4,0,4,8,10,0,12,13,13,10,0,11,5,9,0,0,6,0,0,0,0,13,0,0,0,0,13,6,7,13,13,9,0,13,0,0,13,13,13,0,0,0,0,0,0,0,0,13,13,9,0,0,0,0,0,0,0,0,0
10,0,0,3,0,0,0,2,0,6,0,1,3,0,4,8,9,0,11,12,12,9,0,0,5,8,0,0,7,0,0,0,0,12,0,0,0,0,12,6,8,12,12,8,0,12,0,0,12,12,12,0,0,0,10,0,0,0,0,12,12,9,0,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,1,0,5,0,1,2,0,3,8,7,0,10,12,11,10,0,9,4,8,0,0,5,0,0,0,0,12,0,0,0,0,12,5,6,13,13,7,0,12,0,0,12,14,12,0,0,0,0,0,0,0,0,12,12,8,3,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,2,0,5,0,1,2,0,3,6,7,0,10,13,11,10,0,0,4,8,0,0,6,0,0,0,0,13,0,0,0,0,11,6,7,13,13,8,0,12,0,0,13,13,13,0,0,0,9,0,0,0,0,13,13,7,4,0,0,0,0,0,0,0,0
11,0,0,3,0,0,0,1,0,5,0,1,2,0,3,7,9,0,12,15,12,12,0,0,4,10,0,0,6,0,0,0,0,13,0,0,0,0,13,6,8,16,15,10,0,13,0,0,16,16,14,0,0,0,11,0,0,0,0,13,15,8,4,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,2,0,5,0,1,2,0,3,6,7,0,9,9,9,9,0,0,0,8,0,9,6,0,0,0,0,9,0,0,0,0,9,6,7,9,9,8,0,9,0,0,9,9,9,0,0,0,8,4,0,0,0,9,9,7,4,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,1,0,5,0,1,2,0,3,6,7,0,9,11,10,9,0,0,0,8,0,12,6,0,0,0,0,12,0,0,0,0,10,6,8,12,12,7,0,11,0,0,12,12,11,0,0,0,9,4,0,0,0,11,12,8,4,0,0,0,0,0,0,0,0
10,0,0,4,0,0,0,2,0,6,0,1,3,0,4,7,8,0,11,14,12,10,0,0,0,9,0,15,7,0,0,0,0,15,0,0,0,0,13,7,8,16,15,9,0,13,0,0,16,15,14,0,0,0,9,5,0,0,0,14,15,8,5,0,0,0,0,0,0,0,0
10,0,0,4,0,0,0,2,0,6,0,1,3,0,4,7,8,0,10,12,11,10,0,0,0,9,0,13,7,0,0,0,0,12,0,0,0,0,11,7,8,13,13,9,0,11,0,13,13,13,12,0,0,0,9,5,0,0,0,12,13,8,5,0,0,0,0,0,0,0,0
9,0,0,3,0,0,0,2,0,5,0,1,2,0,3,7,8,0,10,12,11,10,0,0,0,9,0,13,6,0,0,0,0,13,0,0,0,0,11,6,8,13,13,8,0,11,0,13,13,13,13,0,0,0,10,4,0,0,0,12,13,8,4,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,2,0,5,0,1,2,0,3,6,7,0,9,11,10,9,0,0,0,7,0,11,6,0,0,0,0,11,0,0,0,0,11,6,7,11,11,7,0,11,0,11,11,11,11,0,0,0,9,4,0,0,0,11,11,7,4,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,2,0,5,0,1,2,0,3,6,7,0,9,11,10,9,0,0,0,8,0,12,6,0,0,0,0,11,0,0,0,0,10,6,7,12,12,7,0,11,0,12,12,12,12,0,0,0,9,4,0,0,0,11,12,7,4,0,0,0,0,0,0,0,0
9,0,0,3,0,0,0,1,0,5,0,1,2,0,3,6,7,0,10,10,10,9,0,0,0,7,0,10,6,0,0,0,0,10,0,0,0,0,10,5,8,10,10,7,0,10,0,10,10,10,10,0,0,0,9,4,0,0,0,10,10,7,4,0,0,0,0,0,0,0,0
10,0,0,3,0,0,0,1,0,6,0,1,2,0,3,7,8,0,10,12,11,10,0,9,0,9,0,13,7,0,0,0,0,13,0,0,0,0,11,7,9,13,13,8,0,12,0,13,13,13,12,0,0,0,0,5,0,0,0,12,13,8,4,0,0,0,0,0,0,0,0
