"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,8,0,2,0,0,0,2,4,7,2,1,6,5,3,5,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,11,0,0,0,11,10,11,11,8,0,0,0,9,10,11,0,0,0,0,11,11,11,10,0,9,11,0,0,5,11,0,4,0,0,0,0,0,0,0,0,0
0,12,0,2,0,0,0,3,6,10,3,1,9,7,4,8,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,13,0,0,0,13,13,13,13,9,0,0,0,11,12,13,0,0,0,0,13,13,13,13,0,12,13,0,0,8,13,0,6,0,0,0,0,0,0,0,0,0
0,8,0,2,0,0,0,3,5,7,2,1,7,6,4,7,0,0,0,0,0,0,0,0,0,4,10,0,5,0,0,0,0,0,0,0,10,0,0,0,10,9,10,0,7,0,0,0,8,8,10,0,0,0,0,10,10,10,10,0,8,10,0,5,6,10,0,4,0,0,0,0,0,0,0,0,0
0,11,0,2,0,0,0,3,7,10,3,1,8,7,5,9,0,0,0,0,0,0,0,0,0,4,14,0,7,0,0,0,0,0,0,0,14,0,0,0,14,14,14,0,8,0,0,0,12,13,14,0,0,0,0,14,14,14,13,0,13,14,0,6,8,14,0,6,0,0,0,0,0,0,0,0,0
0,8,0,2,0,0,0,3,6,10,2,1,8,6,4,9,0,0,0,0,0,0,0,0,0,3,13,0,6,0,0,0,0,0,0,0,13,0,0,0,13,13,13,0,8,0,0,0,11,12,13,0,0,0,0,13,13,13,13,0,12,13,0,5,7,13,0,5,0,0,0,0,0,0,0,0,0
0,9,0,2,0,0,0,4,8,11,3,1,9,8,6,9,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,12,0,0,0,12,12,12,12,10,0,0,0,12,12,12,0,0,0,0,12,12,12,12,0,12,12,0,0,9,12,0,7,0,0,0,0,0,0,0,0,0
0,4,0,2,0,2,0,2,0,8,1,1,7,5,3,6,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,8,0,0,11,0,0,0,13,13,12,0,0,0,0,0,9,9,13,0,0,0,0,12,13,12,11,0,0,11,0,0,0,11,10,2,0,0,0,0,0,0,0,0,0
0,6,0,4,0,3,0,4,0,9,1,2,8,7,5,7,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,14,0,0,0,15,13,14,0,0,0,0,0,10,11,15,0,0,0,0,13,15,15,13,0,0,14,0,0,0,15,12,4,0,0,0,0,0,0,0,0,0
0,5,7,2,0,4,0,4,0,9,4,1,8,7,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,13,0,0,0,11,13,0,0,0,0,0,0,10,11,13,0,0,0,0,12,13,13,12,0,9,12,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0
0,4,5,1,0,2,0,3,0,9,3,1,8,6,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,11,0,0,12,0,0,0,11,12,0,0,0,0,0,0,10,10,12,0,0,0,0,12,12,12,12,0,7,12,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0
