"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
8,0,0,3,0,0,2,1,0,7,0,4,0,0,5,9,11,0,12,0,12,11,0,0,0,3,0,0,6,0,0,0,0,15,0,0,0,0,0,13,10,15,15,6,0,15,0,0,14,15,15,5,0,0,11,0,0,0,0,13,15,11,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,4,3,0,5,7,11,0,11,12,10,9,0,10,4,2,0,0,6,0,0,0,0,16,0,0,0,0,11,12,9,16,14,7,0,12,0,0,15,14,12,0,0,0,0,0,0,0,0,13,14,7,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,4,3,0,5,7,11,0,8,13,9,8,0,0,4,2,0,0,6,0,0,0,0,13,0,0,0,0,12,13,9,13,13,7,0,13,0,0,13,13,13,0,0,0,10,0,0,0,0,13,13,7,0,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,6,0,3,3,0,5,7,9,0,8,11,9,9,0,0,0,2,0,0,6,0,0,0,0,11,0,0,0,0,10,11,8,11,11,6,0,11,0,0,11,11,11,0,0,0,8,4,0,0,0,11,11,7,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,3,3,0,5,8,10,0,9,11,10,9,0,9,5,2,0,0,7,0,0,0,0,12,0,0,0,0,10,11,9,12,12,7,0,12,0,0,12,12,11,0,0,0,0,0,0,0,0,12,12,8,0,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,5,0,3,3,0,4,7,10,0,11,12,9,10,0,0,4,2,0,0,5,0,0,0,0,14,0,0,0,0,11,12,8,14,13,6,0,12,0,0,14,14,12,0,0,0,9,0,0,0,0,13,13,7,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,3,3,0,5,7,8,0,9,10,9,7,0,8,5,2,0,0,6,0,0,0,0,11,0,0,0,0,10,9,8,11,11,7,0,10,0,0,11,11,10,0,0,0,0,0,0,0,0,11,10,6,6,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,1,0,5,0,3,3,0,4,7,10,0,8,13,11,7,0,0,4,2,0,0,6,0,0,0,0,13,0,0,0,0,12,11,9,13,13,7,0,13,0,0,13,13,13,0,0,0,10,0,0,0,0,13,13,6,5,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,9,0,10,11,10,9,0,0,5,2,0,0,7,0,0,0,0,12,0,0,0,0,10,10,9,12,12,7,0,12,0,0,12,12,11,0,0,0,9,0,0,0,0,12,12,7,6,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,9,0,10,11,9,9,0,0,0,2,0,13,7,0,0,0,0,13,0,0,0,0,10,10,9,13,13,7,0,11,0,0,13,13,11,0,0,0,9,5,0,0,0,12,12,7,6,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,8,0,8,10,9,8,0,0,0,2,0,11,6,0,0,0,0,11,0,0,0,0,10,9,8,11,11,7,0,11,0,0,11,11,10,0,0,0,8,4,0,0,0,11,11,7,6,0,0,0,0,0,0,0,0
9,0,0,3,0,0,0,1,0,6,0,3,3,0,4,8,10,0,11,13,9,11,0,0,0,2,0,13,6,0,0,0,0,13,0,0,0,0,12,12,9,13,13,7,0,13,0,0,13,13,13,0,0,0,9,3,0,0,0,13,13,6,5,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,9,0,11,12,11,11,0,0,0,2,0,14,7,0,0,0,0,14,0,0,0,0,11,11,9,14,13,7,0,14,0,14,14,14,12,0,0,0,10,4,0,0,0,13,13,7,6,0,0,0,0,0,0,0,0
6,0,0,4,0,0,0,1,0,6,0,3,3,0,5,6,6,0,6,6,6,6,0,0,0,2,0,6,6,0,0,0,0,6,0,0,0,0,6,6,6,6,6,6,0,6,0,6,6,6,6,0,0,0,6,4,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0
10,0,0,4,0,0,0,1,0,8,0,3,3,0,5,9,10,0,10,13,11,9,0,0,0,2,0,15,7,0,0,0,0,15,0,0,0,0,12,11,10,15,14,8,0,15,0,15,15,14,13,0,0,0,10,4,0,0,0,14,14,7,6,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,9,0,10,12,10,10,0,0,0,2,0,13,7,0,0,0,0,13,0,0,0,0,11,11,9,13,13,7,0,13,0,13,13,13,12,0,0,0,9,4,0,0,0,13,13,7,6,0,0,0,0,0,0,0,0
10,0,0,4,0,0,0,1,0,9,0,3,3,0,5,9,11,0,10,14,11,10,0,0,0,2,0,16,7,0,0,0,0,16,0,0,0,0,13,12,11,16,15,8,0,16,0,16,16,16,14,0,0,0,11,3,0,0,0,15,15,7,6,0,0,0,0,0,0,0,0
6,0,0,2,0,0,0,1,0,5,0,2,2,0,3,6,7,0,9,10,9,6,0,8,0,1,0,12,5,0,0,0,0,12,0,0,0,0,9,9,7,12,12,5,0,12,0,12,12,12,10,0,0,0,0,2,0,0,0,12,11,5,4,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,10,0,11,12,10,10,0,10,0,2,0,15,6,0,0,0,0,15,0,0,0,0,11,11,9,15,14,7,0,14,0,15,15,15,13,0,0,0,0,4,0,0,0,14,14,6,5,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,9,0,10,11,10,8,0,0,0,2,0,12,6,0,0,0,0,12,0,0,0,0,11,10,9,12,12,7,0,12,0,12,12,12,11,0,0,0,9,5,0,0,0,12,12,7,6,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,1,0,7,0,3,4,0,5,8,9,0,10,11,9,9,0,0,0,2,0,11,7,0,0,0,0,11,0,11,0,0,0,10,9,11,11,8,0,11,0,11,11,11,11,0,0,0,9,4,0,0,7,11,11,0,6,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,6,0,3,3,0,5,8,8,0,9,12,9,8,0,9,0,2,0,13,6,0,0,0,0,13,0,0,11,0,0,10,8,13,13,6,0,13,0,13,13,13,12,0,0,0,0,4,0,0,0,13,13,6,5,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,7,0,3,4,0,5,8,8,0,10,13,9,10,0,9,0,2,0,13,6,0,0,0,0,13,0,12,0,0,11,11,9,13,13,7,0,13,0,13,13,13,12,0,0,0,0,4,0,0,0,13,13,7,5,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,3,3,0,5,8,8,0,8,9,8,8,0,0,0,2,0,10,6,0,0,0,0,10,0,9,0,0,9,9,8,10,10,6,0,10,0,10,9,10,9,5,0,0,8,4,0,0,0,9,10,7,6,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,6,0,3,4,0,5,11,10,0,11,12,11,12,0,0,0,2,0,12,6,0,0,0,0,12,0,12,0,0,12,12,9,12,12,6,0,12,0,12,12,12,12,7,0,0,10,4,0,0,0,12,12,7,6,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,1,0,7,0,3,3,0,5,8,9,0,10,10,10,8,0,0,0,2,0,10,7,0,0,0,0,10,0,10,0,0,10,10,9,10,10,6,0,10,0,10,10,10,10,5,0,0,8,3,0,0,0,10,10,7,6,0,0,0,0,0,0,0,0
10,0,0,4,0,0,0,1,0,7,0,3,3,0,5,9,9,0,9,11,10,8,0,9,0,2,0,13,5,0,0,0,0,13,0,11,0,0,11,11,9,13,13,6,0,13,0,13,11,12,11,7,0,0,0,4,0,0,0,11,12,7,7,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,1,0,8,0,3,3,0,5,9,9,0,9,12,9,9,0,9,0,2,0,13,7,0,0,13,0,13,0,12,0,0,11,10,9,13,13,8,0,12,0,13,11,13,11,6,0,0,0,3,0,0,0,11,13,8,6,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,1,0,6,0,3,4,0,5,8,8,0,9,11,8,9,0,8,0,2,0,14,6,0,0,14,0,14,0,10,0,0,10,10,8,13,13,7,0,10,0,13,11,13,11,6,0,9,0,4,0,0,0,11,12,7,6,0,0,0,0,0,0,0,0
10,0,0,4,0,0,0,1,0,7,0,3,4,0,5,8,8,0,11,12,10,10,0,0,0,2,0,13,6,0,0,13,0,13,0,12,0,0,12,11,9,13,13,7,0,12,0,13,12,13,12,6,0,11,9,4,0,0,0,12,13,7,6,0,0,0,0,0,0,0,0
8,0,0,3,0,0,0,1,0,5,0,2,3,0,3,6,6,0,6,10,7,7,7,6,0,2,0,11,5,0,0,11,0,11,0,9,0,0,9,8,7,11,11,5,0,10,0,11,9,11,9,5,0,0,0,4,0,0,0,9,10,5,5,0,0,0,0,0,0,0,0
8,0,0,5,0,0,0,2,0,6,0,1,4,0,5,8,8,0,11,12,10,8,0,0,0,3,0,12,7,0,0,12,0,12,0,12,0,0,12,11,9,12,12,7,0,12,0,12,12,12,12,8,0,10,9,6,0,0,0,12,12,7,7,0,0,0,0,0,0,0,0
9,0,0,4,0,0,0,2,0,5,0,1,3,0,4,7,8,0,10,12,10,9,0,9,0,4,0,13,6,0,0,13,0,13,0,12,0,0,11,10,9,13,13,7,0,13,0,12,12,13,12,6,0,10,0,5,0,0,0,11,12,6,6,0,0,0,0,0,0,0,0
13,0,0,5,0,0,0,2,0,7,0,1,3,0,4,11,11,0,13,17,11,12,0,0,0,3,0,17,9,0,0,17,0,17,0,16,0,0,16,14,12,14,14,9,0,13,0,17,15,17,16,8,0,13,12,6,0,0,9,15,16,10,8,0,0,0,0,0,0,0,0
12,0,0,4,0,0,3,2,0,6,0,1,3,0,4,9,11,0,13,16,14,14,13,12,0,3,0,18,8,0,0,18,0,18,0,15,0,0,15,15,11,12,12,7,0,14,0,16,13,17,15,7,0,0,0,5,0,0,8,14,13,10,7,0,0,0,0,0,0,0,0
10,0,0,4,0,0,3,2,0,7,0,1,3,0,5,9,10,0,12,16,10,11,0,0,0,4,0,16,9,0,0,16,0,16,0,15,0,0,15,13,10,12,13,9,0,12,0,16,13,16,14,8,0,12,11,6,0,0,9,13,13,10,9,0,0,0,0,0,0,0,0
5,0,0,4,0,0,3,2,0,5,0,1,3,0,4,5,5,0,5,5,5,5,0,0,0,4,0,5,5,0,0,5,0,5,0,5,0,0,5,5,5,5,5,5,0,5,0,5,5,5,5,5,0,5,5,5,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0
12,0,0,5,0,0,3,2,0,7,0,1,3,0,5,10,11,0,12,18,13,13,0,0,0,4,0,18,10,0,0,18,0,18,0,17,0,0,16,15,12,12,12,9,0,14,0,18,14,18,16,8,0,14,13,6,0,0,9,14,14,11,9,0,0,0,0,0,0,0,0
10,0,0,4,0,0,3,2,0,6,0,1,3,0,4,7,11,0,12,13,13,12,0,0,0,5,0,13,9,0,0,13,0,13,0,13,0,0,13,13,11,12,12,8,0,13,0,13,13,13,13,8,0,12,12,7,0,0,9,13,13,10,9,0,0,0,0,0,0,0,0
15,0,9,5,0,0,3,2,0,8,0,1,3,0,4,7,14,0,15,19,16,14,0,0,0,6,0,20,13,0,0,20,0,20,0,19,0,0,19,17,15,10,15,12,0,15,0,20,16,20,18,11,0,16,15,9,0,0,13,12,16,11,12,0,0,0,0,0,0,0,0
10,0,8,5,0,0,4,2,0,7,0,1,3,0,6,8,10,0,19,19,16,16,15,0,0,6,0,19,12,0,0,19,0,19,0,18,0,0,18,16,13,10,14,11,0,16,0,19,16,19,17,10,0,0,14,8,0,0,9,12,15,10,11,0,0,0,0,0,0,0,0
11,0,9,5,0,0,4,2,0,8,0,1,3,0,6,9,11,0,14,18,15,15,0,0,0,7,0,18,12,0,0,18,0,18,0,17,0,0,17,16,13,10,13,11,0,15,0,18,14,18,17,10,0,15,14,9,0,0,10,11,15,10,11,0,0,0,0,0,0,0,0
13,0,9,5,0,0,4,2,0,8,0,1,3,0,6,10,11,0,15,20,15,16,0,0,0,7,0,20,14,0,0,20,0,20,0,19,0,0,19,19,15,12,16,13,0,16,0,20,18,20,19,12,0,17,16,9,0,0,11,14,18,12,12,0,0,0,0,0,0,0,0
13,0,6,4,0,0,3,2,0,7,0,1,2,0,5,8,12,0,15,17,15,16,0,14,0,6,0,17,13,0,0,17,0,17,0,16,0,0,16,16,14,9,14,10,0,15,0,17,15,17,16,9,0,15,0,7,0,0,11,13,15,10,10,0,0,0,0,0,0,0,0
11,0,6,4,0,0,3,2,0,7,0,1,2,0,4,9,11,0,13,14,13,13,0,12,0,5,14,14,11,0,0,14,0,14,0,14,0,0,14,14,12,10,12,11,0,13,0,14,13,14,14,10,0,13,0,8,0,0,10,11,13,0,10,0,0,0,0,0,0,0,0
14,0,0,4,0,0,3,2,0,6,0,1,2,0,4,8,12,0,13,19,16,15,0,14,0,5,20,20,11,0,0,20,0,20,0,17,0,0,19,17,15,10,12,10,0,16,0,20,16,20,18,10,0,16,0,7,0,7,11,13,16,9,11,0,0,0,0,0,0,0,0
5,0,0,4,0,0,3,2,0,5,0,1,2,0,4,5,5,0,5,5,5,5,0,5,0,5,5,5,5,0,0,5,0,5,0,5,0,0,5,5,5,5,5,5,0,5,0,5,5,5,5,5,0,5,0,5,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0
12,0,0,5,0,0,4,2,0,6,0,1,3,0,5,8,11,0,14,16,14,12,14,12,0,5,16,16,11,0,0,16,0,16,0,15,0,0,15,14,12,10,11,10,0,13,0,16,13,16,16,9,0,0,0,7,0,7,10,12,14,9,10,0,0,0,0,0,0,0,0
13,0,7,6,0,0,4,2,0,8,0,1,3,0,5,10,12,0,16,17,16,15,14,14,0,5,19,19,12,0,0,17,0,19,0,16,0,0,16,16,14,11,14,11,0,15,0,19,15,18,16,10,0,0,0,9,0,9,11,13,16,10,11,0,0,0,0,0,0,0,0
13,0,7,6,0,0,4,2,0,8,0,1,3,0,5,10,13,0,13,18,16,15,15,15,0,6,18,18,12,0,0,18,0,18,0,17,0,0,17,17,15,12,15,12,0,16,0,18,16,18,18,10,0,0,0,8,0,9,12,14,17,10,11,0,0,0,0,0,0,0,0
13,0,7,6,0,0,4,2,0,8,0,1,3,0,5,10,14,0,16,20,17,16,16,16,0,5,21,21,13,0,0,21,0,21,0,19,0,0,19,19,16,12,14,12,0,16,0,21,17,20,19,13,0,0,0,9,0,9,13,15,18,11,13,0,0,0,0,0,0,0,0
