"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,8,0,3,0,0,0,2,7,8,4,1,7,4,5,8,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,13,0,0,0,13,13,13,13,10,0,0,0,12,13,11,0,0,0,0,7,12,12,12,0,12,9,0,0,5,12,0,7,0,0,0,0,0,0,0,0,0
0,9,0,2,0,0,0,3,8,9,4,1,8,5,4,7,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,10,10,10,10,0,0,0,10,10,10,0,0,0,0,9,10,10,10,0,10,10,0,0,5,10,0,9,0,0,0,0,0,0,0,0,0
0,9,0,2,0,0,0,3,7,7,4,1,7,4,4,7,0,0,0,0,0,0,0,0,0,6,15,0,10,0,0,0,0,0,0,0,15,0,0,0,15,15,12,0,9,0,0,0,13,14,10,0,0,0,0,7,15,13,13,0,12,10,0,6,5,11,0,8,0,0,0,0,0,0,0,0,0
0,8,0,2,0,0,0,2,5,7,3,1,5,4,3,6,0,0,0,0,0,0,0,0,0,4,15,0,9,0,0,0,0,0,0,0,15,0,0,0,14,14,10,0,9,0,0,0,11,13,9,0,0,0,0,8,13,12,12,0,11,8,0,5,3,11,0,7,0,0,0,0,0,0,0,0,0
0,10,0,2,0,0,0,3,7,8,4,1,8,5,6,9,0,0,0,0,0,0,0,0,0,6,15,0,12,0,0,0,0,0,0,0,15,0,0,0,15,15,14,0,11,0,0,0,13,14,13,0,0,0,0,9,15,14,13,0,14,11,0,7,4,12,0,8,0,0,0,0,0,0,0,0,0
0,8,0,1,0,0,0,2,6,7,3,2,5,3,4,7,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,10,10,10,9,0,0,0,10,10,10,0,0,0,0,7,10,10,10,0,10,9,0,0,3,10,0,7,0,0,0,0,0,0,0,0,0
0,6,0,2,0,2,0,3,0,8,4,1,8,5,4,6,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,14,0,0,0,14,14,13,0,0,0,0,0,5,12,12,0,0,0,0,9,12,13,14,0,0,11,0,0,0,12,13,7,0,0,0,0,0,0,0,0,0
0,7,0,1,0,3,0,2,0,9,4,2,7,5,4,7,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,14,0,0,0,14,14,13,0,0,0,0,0,6,11,11,0,0,0,0,8,14,13,13,0,0,10,0,0,0,11,12,7,0,0,0,0,0,0,0,0,0
0,9,8,1,0,3,0,4,0,9,4,2,7,5,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,12,0,0,18,0,0,0,19,16,0,0,0,0,0,0,6,14,12,0,0,0,0,9,13,15,15,0,11,12,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0
0,7,6,1,0,3,0,3,0,7,4,2,6,5,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,13,0,0,0,14,13,0,0,0,0,0,0,5,11,11,0,0,0,0,6,13,12,12,0,9,10,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0
