"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
7,0,0,3,0,0,4,1,0,7,0,2,0,0,5,9,9,0,14,0,15,7,0,0,0,14,0,0,13,0,0,0,0,16,0,0,0,0,0,7,11,16,8,11,0,16,0,0,15,16,16,6,0,0,12,0,0,0,0,10,14,9,0,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,7,0,2,3,0,4,6,9,0,12,11,12,7,0,10,5,10,0,0,10,0,0,0,0,12,0,0,0,0,5,8,8,12,1,8,0,12,0,0,12,12,12,0,0,0,0,0,0,0,0,10,12,6,0,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,1,0,5,0,2,3,0,4,5,5,0,5,5,5,5,0,0,5,5,0,0,5,0,0,0,0,5,0,0,0,0,5,5,5,5,2,5,0,5,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,6,0,2,3,0,4,5,8,0,8,10,11,5,0,0,0,9,0,0,9,0,0,0,0,11,0,0,0,0,5,6,7,11,1,7,0,11,0,0,11,11,11,0,0,0,9,5,0,0,0,8,10,6,0,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,7,0,2,3,0,4,6,10,0,12,11,13,6,0,11,5,11,0,0,11,0,0,0,0,14,0,0,0,0,5,8,9,13,1,9,0,14,0,0,14,14,14,0,0,0,0,0,0,0,0,11,12,7,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,1,0,8,0,3,5,0,5,7,12,0,14,15,16,8,0,0,6,13,0,0,14,0,0,0,0,17,0,0,0,0,6,9,11,16,2,10,0,17,0,0,17,17,17,0,0,0,14,0,0,0,0,13,15,8,0,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,1,0,5,0,2,4,0,4,5,5,0,5,5,5,5,0,5,5,5,0,0,5,0,0,0,0,5,0,0,0,0,5,5,5,5,1,5,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,7,0,2,3,0,3,5,8,0,12,11,12,7,0,0,4,10,0,0,11,0,0,0,0,14,0,0,0,0,4,7,8,12,1,8,0,14,0,0,13,14,14,0,0,0,9,0,0,0,0,10,12,5,7,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,7,0,2,3,0,3,5,8,0,12,10,12,6,0,0,4,10,0,0,10,0,0,0,0,13,0,0,0,0,4,7,8,12,1,8,0,13,0,0,13,13,13,0,0,0,9,0,0,0,0,9,11,5,7,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,7,0,2,3,0,3,5,8,0,11,10,12,6,0,0,0,10,0,14,10,0,0,0,0,14,0,0,0,0,4,7,8,13,1,8,0,14,0,0,14,14,14,0,0,0,9,4,0,0,0,10,11,5,6,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,9,0,3,4,0,4,6,9,0,12,12,13,6,0,0,0,10,0,13,11,0,0,0,0,13,0,0,0,0,5,8,9,13,2,9,0,13,0,0,13,13,13,0,0,0,10,5,0,0,0,10,12,6,8,0,0,0,0,0,0,0,0
6,0,0,4,0,0,0,1,0,7,0,3,4,0,4,6,9,0,9,11,13,6,0,0,0,10,0,14,11,0,0,0,0,14,0,0,0,0,5,8,9,13,2,9,0,14,0,0,14,13,14,0,0,0,10,5,0,0,0,11,12,6,7,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,9,0,2,3,0,3,6,10,0,13,12,14,8,0,0,0,11,0,14,12,0,0,0,0,14,0,0,0,0,5,8,10,14,1,10,0,14,0,14,14,14,14,0,0,0,11,4,0,0,0,11,13,6,7,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,1,0,6,0,2,3,0,3,5,7,0,9,9,10,5,0,0,0,9,0,10,9,0,0,0,0,10,0,0,0,0,4,6,8,10,1,8,0,10,0,10,10,10,10,0,0,0,9,5,0,0,0,9,10,5,6,0,0,0,0,0,0,0,0
6,0,0,3,0,0,0,1,0,8,0,2,3,0,3,5,9,0,10,11,14,5,0,0,0,10,0,15,11,0,0,0,0,15,0,0,0,0,4,7,9,13,1,9,0,15,0,15,15,14,15,0,0,0,10,4,0,0,0,11,12,6,7,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,9,0,3,4,0,4,7,10,0,12,12,14,8,0,0,0,12,0,14,12,0,0,0,0,14,0,0,0,0,6,9,11,14,2,11,0,14,0,14,14,14,14,0,0,0,12,5,0,0,0,12,13,8,8,0,0,0,0,0,0,0,0
7,0,0,3,0,0,0,1,0,9,0,2,3,0,4,6,9,0,11,11,13,7,0,0,0,11,0,14,11,0,0,0,0,14,0,0,0,0,5,8,10,13,1,10,0,14,0,14,14,13,14,0,0,0,11,5,0,0,0,11,12,6,7,0,0,0,0,0,0,0,0
7,0,0,4,0,0,0,1,0,9,0,3,3,0,4,6,9,0,11,12,13,8,0,10,0,11,0,14,11,0,0,0,0,14,0,0,0,0,5,8,9,13,2,9,0,14,0,14,14,13,14,0,0,0,0,5,0,0,0,11,12,7,8,0,0,0,0,0,0,0,0
