"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,8,0,1,0,0,0,1,5,7,2,1,6,5,3,7,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,11,0,0,0,12,11,11,12,7,0,0,0,8,10,12,0,0,0,0,11,12,12,9,0,10,11,0,0,6,12,0,5,0,0,0,0,0,0,0,0,0
0,10,0,1,0,0,0,1,5,9,3,2,7,5,4,7,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,12,0,0,0,12,11,12,12,10,0,0,0,10,11,12,0,0,0,0,12,12,12,12,0,10,12,0,0,8,12,0,6,0,0,0,0,0,0,0,0,0
0,12,0,2,0,0,0,1,6,11,3,2,9,6,4,10,0,0,0,0,0,0,0,0,0,5,16,0,8,0,0,0,0,0,0,0,17,0,0,0,16,15,15,0,11,0,0,0,12,12,18,0,0,0,0,14,19,17,13,0,13,15,0,7,9,14,0,6,0,0,0,0,0,0,0,0,0
0,9,0,3,0,0,0,1,8,9,4,2,8,6,5,9,0,0,0,0,0,0,0,0,0,4,10,0,8,0,0,0,0,0,0,0,10,0,0,0,10,10,10,0,9,0,0,0,10,10,10,0,0,0,0,10,10,10,10,0,10,10,0,7,8,10,0,6,0,0,0,0,0,0,0,0,0
0,7,0,2,0,0,0,1,5,8,3,1,6,5,4,8,0,0,0,0,0,0,0,0,0,4,9,0,5,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,7,0,0,0,9,9,9,0,0,0,0,9,9,9,9,0,9,9,0,6,6,9,0,5,0,0,0,0,0,0,0,0,0
0,6,0,1,0,0,0,1,5,8,2,1,6,4,3,7,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,10,0,0,0,10,10,10,10,8,0,0,0,9,10,10,0,0,0,0,10,10,10,10,0,10,10,0,0,7,10,0,4,0,0,0,0,0,0,0,0,0
0,5,0,2,0,4,0,3,0,9,1,3,8,6,4,7,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,13,0,0,0,13,13,13,0,0,0,0,0,10,11,13,0,0,0,0,13,13,13,13,0,0,13,0,0,0,12,12,5,0,0,0,0,0,0,0,0,0
0,7,0,4,0,5,0,3,0,10,1,2,9,8,6,9,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,13,0,0,0,13,13,13,0,0,0,0,0,11,12,13,0,0,0,0,13,13,13,13,0,0,13,0,0,0,13,13,7,0,0,0,0,0,0,0,0,0
0,4,5,2,0,3,0,1,0,8,2,1,7,6,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,13,0,0,0,10,13,0,0,0,0,0,0,9,10,15,0,0,0,0,11,14,14,12,0,8,13,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0
0,5,7,2,0,4,0,2,0,9,1,3,10,8,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,10,0,0,16,0,0,0,13,16,0,0,0,0,0,0,12,12,16,0,0,0,0,14,16,16,15,0,9,16,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0
0,5,0,2,0,4,0,1,0,11,3,3,12,9,5,0,0,0,16,0,7,0,0,0,0,0,19,0,0,0,0,0,0,10,0,0,19,0,0,0,15,18,0,0,0,0,0,0,13,14,20,0,0,0,0,17,20,19,17,0,8,18,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0
0,6,8,1,3,0,0,2,0,11,4,2,10,8,5,0,0,0,16,0,7,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,17,0,0,0,15,17,0,0,0,0,0,0,12,12,17,0,0,0,0,14,17,17,16,0,9,17,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0
0,5,6,1,2,0,0,1,0,8,3,2,7,0,4,0,0,0,11,0,6,0,0,0,0,0,13,13,0,0,0,0,12,6,0,0,13,0,0,0,11,13,0,0,0,0,0,0,9,9,13,0,0,0,0,10,13,0,12,0,0,0,0,0,0,9,0,5,8,0,0,0,0,0,0,0,0
0,5,8,1,3,0,0,2,0,10,4,3,8,7,5,0,0,0,15,0,8,0,0,0,0,0,16,16,0,0,0,0,14,8,0,0,16,0,0,0,13,16,0,0,0,0,0,0,11,15,16,0,0,0,0,12,16,0,16,0,0,0,0,0,0,11,0,6,9,0,0,0,0,0,0,0,0
0,7,9,1,3,0,0,2,0,12,4,5,10,7,6,0,0,0,16,0,9,0,0,0,0,0,18,19,0,0,0,0,16,11,0,0,19,0,0,0,15,19,0,0,0,0,0,0,13,14,19,0,0,0,0,15,19,0,17,0,0,0,0,0,0,12,0,8,11,0,0,0,0,0,0,0,0
0,8,9,1,4,4,0,2,0,11,5,3,10,7,6,11,0,0,17,0,8,0,0,0,0,2,19,19,0,0,0,0,16,0,0,15,18,0,0,0,15,18,0,0,0,10,0,0,13,11,20,0,0,0,0,16,20,14,17,0,11,0,0,0,0,12,14,9,12,0,0,0,0,0,0,0,0
0,7,9,1,4,5,0,3,0,12,6,4,10,8,6,11,0,0,19,0,9,0,0,0,0,2,20,20,0,0,0,0,18,0,0,17,20,0,0,0,17,20,0,0,0,12,0,0,13,15,20,0,0,0,0,18,20,16,19,0,11,0,0,0,0,13,15,9,14,0,0,0,0,0,0,0,0
0,8,8,1,5,0,0,2,0,13,6,4,0,7,0,12,0,0,23,0,8,0,0,0,0,3,24,24,0,0,0,0,20,0,0,18,24,0,0,0,19,21,0,0,9,11,0,0,16,15,24,0,0,0,0,20,24,16,22,0,0,0,0,0,0,0,17,10,14,0,0,0,0,0,0,0,0
