"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","break_add","break_del","continue_add","continue_del","switch_del","switch_chg","case_add","case_chg","assert_add","assert_del","return_add","return_del","try_add","try_del","try_chg","throw_add","throw_del","throw_chg","throws_del","final_add","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
6,0,0,2,0,0,1,1,0,5,0,2,0,0,3,9,5,0,6,0,7,10,0,0,0,7,0,0,6,0,0,0,0,7,0,0,0,0,0,8,6,9,9,6,0,9,0,0,8,9,8,4,0,0,6,0,0,0,0,7,8,6,0,0,0,0,0,0,0,0,0
4,0,0,2,0,0,0,1,0,4,0,2,2,0,3,4,4,0,4,6,6,7,0,4,4,5,0,0,4,0,0,0,0,6,0,0,0,0,5,5,4,7,7,4,0,7,0,0,7,7,7,0,0,0,0,0,0,0,0,7,6,4,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,1,0,4,0,3,2,0,3,5,4,0,5,6,6,6,0,0,6,6,0,0,5,0,0,0,0,6,0,0,0,0,6,6,5,6,6,5,0,6,0,0,6,6,6,0,0,0,5,0,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0
6,0,0,2,0,0,0,1,0,4,0,2,2,0,3,6,4,0,4,6,7,7,0,0,0,6,0,0,5,0,0,0,0,7,0,0,0,0,6,6,4,6,7,4,0,8,0,0,8,8,8,0,0,0,5,6,0,0,0,7,7,5,0,0,0,0,0,0,0,0,0
6,0,0,2,0,0,0,1,0,4,0,3,2,0,3,7,5,0,5,8,8,10,0,6,4,8,0,0,6,0,0,0,0,8,0,0,0,0,7,8,5,8,9,6,0,9,0,0,9,9,9,0,0,0,0,0,0,0,0,8,8,5,0,0,0,0,0,0,0,0,0
7,0,0,2,0,0,0,1,0,4,0,3,2,0,3,6,5,0,6,8,8,9,0,0,6,7,0,0,6,0,0,0,0,7,0,0,0,0,8,7,5,7,9,6,0,9,0,0,9,9,9,0,0,0,6,0,0,0,0,8,8,6,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,1,0,4,0,3,2,0,3,5,4,0,6,7,8,8,0,5,4,7,0,0,6,0,0,0,0,7,0,0,0,0,7,6,4,7,8,5,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0,9,9,4,4,0,0,0,0,0,0,0,0
7,0,0,2,0,0,0,1,0,5,0,3,2,0,4,8,5,0,7,9,9,10,0,0,9,8,0,0,7,0,0,0,0,9,0,0,0,0,9,9,6,9,10,6,0,10,0,0,11,11,11,0,0,0,6,0,0,0,0,10,10,5,5,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,1,0,4,0,2,2,0,3,6,4,0,5,8,7,8,0,0,5,6,0,0,5,0,0,0,0,7,0,0,0,0,8,6,4,7,8,5,0,10,0,0,9,10,10,0,0,0,5,0,0,0,0,9,8,4,4,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,1,0,5,0,2,2,0,3,6,5,0,5,7,7,8,0,0,0,6,0,9,5,0,0,0,0,7,0,0,0,0,7,6,5,7,8,5,0,9,0,0,9,9,9,0,0,0,5,5,0,0,0,8,8,4,4,0,0,0,0,0,0,0,0
