"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
10,12,9,6,5,7,0,1,0,9,4,3,0,2,6,10,15,8,20,0,0,0,0,0,0,15,0,0,0,0,18,12,0,17,17,9,13,0,0,0,0,21,0,0,0,0,0,11,13,19,16,14,0,0,0,0,0,0,0,0,0
8,10,8,4,3,0,0,1,0,7,2,2,6,0,4,8,11,5,16,0,0,0,0,0,0,0,0,0,0,0,14,10,13,13,12,8,10,0,0,0,0,17,0,0,0,0,0,9,11,15,12,12,0,0,0,0,0,0,0,0,0
12,14,11,6,5,0,0,1,0,9,4,3,8,2,6,10,16,7,20,0,0,0,0,14,0,0,0,0,0,0,19,0,17,18,16,10,13,0,0,0,0,20,0,0,0,0,0,12,15,17,16,16,0,0,0,0,0,0,0,0,0
12,14,12,5,4,0,0,1,0,10,3,3,8,2,6,11,16,7,20,0,0,0,0,15,0,0,0,0,0,0,19,0,18,19,19,9,14,0,0,0,0,20,0,0,0,0,0,13,15,20,17,17,0,0,0,0,0,0,0,0,0
10,12,9,5,4,0,0,1,0,9,3,3,7,2,5,9,13,6,16,0,0,0,0,10,0,0,0,0,0,0,16,0,14,15,15,8,11,0,0,0,0,16,0,0,0,0,0,10,12,16,13,14,0,0,0,0,0,0,0,0,0
11,13,11,7,5,0,0,1,0,10,3,4,9,2,6,10,15,8,19,0,0,0,0,0,0,0,18,0,0,0,18,0,17,17,18,10,13,0,0,0,0,19,0,0,14,0,0,12,14,19,16,15,0,0,0,0,0,0,0,0,0
12,13,11,5,4,0,0,1,0,9,4,3,8,2,6,10,14,7,19,0,0,0,0,0,0,0,19,19,0,0,18,13,16,17,15,9,12,0,0,0,0,19,0,0,0,0,0,12,13,17,15,14,0,0,0,0,0,0,0,0,0
11,13,11,6,5,0,0,1,0,10,4,3,8,2,6,10,14,7,19,0,0,0,0,13,0,0,0,20,0,0,17,0,16,17,17,9,12,0,20,0,0,20,0,0,16,0,0,12,13,18,15,14,0,0,0,0,0,0,0,0,0
11,13,10,6,5,0,0,1,0,9,4,3,8,2,6,9,14,7,19,0,0,0,0,0,0,0,0,20,0,0,18,12,17,17,17,9,12,0,19,0,0,20,0,0,15,0,0,11,12,19,16,14,0,0,0,0,0,0,0,0,0
10,12,9,5,4,0,0,1,0,9,4,3,7,2,5,8,14,6,17,0,0,0,0,14,0,0,0,17,0,0,16,0,15,15,16,7,13,0,17,0,0,17,0,0,15,0,0,11,13,17,15,14,0,0,0,0,0,0,0,0,0
11,12,11,5,4,0,0,1,0,10,4,3,8,2,6,9,13,7,17,0,0,0,0,12,0,0,18,18,0,0,15,0,14,15,15,9,12,0,18,16,0,18,0,0,0,0,0,11,12,15,13,12,0,0,0,0,0,0,0,0,0
