"NS","ND","NF","Entropy","LA","LD","LT","SOL","NTM","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","while_chg","do_chg","break_add","break_del","continue_del","switch_del","switch_chg","case_add","case_del","case_chg","default_add","default_del","return_add","return_del","try_add","try_del","try_chg","catch_add","catch_del","throw_add","throw_del","throw_chg","throws_add","throws_del","finally_add","final_add","final_del","static_add","static_del","synchronized_add","synchronized_del","synchronized_chg","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
0,10,0,2,0,0,0,3,7,5,6,1,9,7,4,7,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,10,10,10,10,0,0,0,10,10,10,0,0,0,0,10,10,10,10,0,10,10,0,0,8,10,0,4,0,0,0,0,0,0,0,0,0
0,10,0,2,0,0,0,3,6,4,7,1,10,8,4,6,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,11,0,0,0,11,11,11,11,11,0,0,0,11,11,11,0,0,0,0,11,11,11,11,0,11,11,0,0,9,11,0,4,0,0,0,0,0,0,0,0,0
0,9,0,2,0,0,0,3,7,5,6,1,8,7,4,7,0,0,0,0,0,0,0,0,0,4,9,0,9,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,9,0,0,0,9,9,9,0,0,0,0,9,9,9,9,0,9,9,0,7,8,9,0,4,0,0,0,0,0,0,0,0,0
0,9,0,2,0,0,0,2,5,4,5,1,8,6,3,5,0,0,0,0,0,0,0,0,0,3,9,0,9,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,9,0,0,0,9,9,9,0,0,0,0,9,9,9,9,0,9,9,0,5,7,9,0,3,0,0,0,0,0,0,0,0,0
0,9,0,2,0,0,0,2,6,4,6,1,8,7,3,5,0,0,0,0,0,0,0,0,0,4,13,0,10,0,0,0,0,0,0,0,13,0,0,0,13,11,13,0,11,0,0,0,12,12,13,0,0,0,0,12,13,13,9,0,12,13,0,6,8,13,0,3,0,0,0,0,0,0,0,0,0
0,10,0,2,0,0,0,3,6,6,7,1,9,7,4,7,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,12,0,0,0,12,12,12,12,10,0,0,0,12,11,12,0,0,0,0,12,12,12,11,0,12,12,0,0,8,12,0,5,0,0,0,0,0,0,0,0,0
0,9,0,2,0,6,0,2,0,5,6,1,8,6,4,7,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,10,10,10,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,10,0,0,10,0,0,0,10,10,3,0,0,0,0,0,0,0,0,0
0,10,0,3,0,6,0,2,0,5,7,1,9,8,4,8,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,14,0,0,0,14,13,12,0,0,0,0,0,14,12,14,0,0,0,0,14,14,13,11,0,0,13,0,0,0,13,14,4,0,0,0,0,0,0,0,0,0
0,10,8,3,0,5,0,2,0,6,4,1,8,7,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,12,0,0,0,10,12,0,0,0,0,0,0,11,11,12,0,0,0,0,12,12,12,10,0,12,12,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0
0,8,6,2,0,4,0,2,0,4,4,1,6,5,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,10,10,0,0,0,0,0,0,9,10,10,0,0,0,0,10,10,10,8,0,10,10,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0
0,9,0,3,0,5,0,2,0,5,4,1,9,7,6,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,10,10,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,10,0,10,10,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0
0,9,8,3,3,0,0,2,0,5,3,1,6,5,5,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,10,10,0,0,0,0,0,0,10,10,10,0,0,0,0,8,10,10,10,0,10,10,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0
