"NS","ND","NF","Entropy","SOL","NTM","LA","LD","LT","FN","NDEV","AGE","EXP","REXP","Complexity","if_add","if_del","if_chg","elseif_add","elseif_del","else_add","else_del","else_chg","for_add","for_del","for_chg","while_add","while_del","continue_del","switch_add","switch_del","switch_chg","return_add","return_del","try_add","try_del","try_chg","catch_add","throw_add","throw_del","throw_chg","throws_add","final_add","synchronized_add","loop_add","loop_del","loop_chg","expVariable_add","expVariable_del","expParameter_add","expParameter_del","externalCall_add","externalCall_del","average_time","Runtime","Cpu_user","Cpu_sys","Mem_rss","Mem_vms","Io_read","Io_write"
12,11,9,7,4,6,0,1,0,10,3,3,0,2,5,8,13,8,14,0,0,0,0,0,0,9,0,0,0,0,14,9,0,14,14,14,14,0,0,0,0,14,0,0,0,0,0,10,14,14,14,6,0,0,0,0,0,0,0,0,0
9,9,7,5,2,0,0,1,0,8,2,2,9,0,3,6,9,4,13,0,0,0,0,0,0,0,0,0,0,0,13,9,12,11,13,12,10,0,0,0,0,13,0,0,0,0,0,8,10,13,13,2,0,0,0,0,0,0,0,0,0
10,9,7,5,3,0,0,1,0,8,3,3,8,2,4,6,10,5,13,0,0,0,0,8,0,0,0,0,0,0,14,0,13,12,14,12,11,0,0,0,0,16,0,0,0,0,0,7,12,15,15,3,0,0,0,0,0,0,0,0,0
10,9,7,5,3,0,0,1,0,8,3,3,8,2,4,6,10,5,14,0,0,0,0,7,0,0,0,0,0,0,14,0,13,11,14,13,11,0,0,0,0,14,0,0,0,0,0,7,12,14,14,3,0,0,0,0,0,0,0,0,0
10,9,8,6,3,0,0,1,0,9,4,4,11,2,5,7,9,6,15,0,0,0,0,8,0,0,0,0,0,0,16,0,14,13,16,13,12,0,0,0,0,16,0,0,0,0,0,8,12,16,16,2,0,0,0,0,0,0,0,0,0
13,12,8,6,3,0,0,1,0,10,3,4,9,2,4,7,11,5,17,0,0,0,0,0,0,0,15,0,0,0,17,0,16,15,17,16,15,0,0,0,0,17,0,0,10,0,0,9,14,17,17,3,0,0,0,0,0,0,0,0,0
11,11,8,6,3,0,0,1,0,10,3,3,9,2,4,7,10,5,14,0,0,0,0,0,0,0,14,14,0,0,14,7,14,13,14,14,13,0,0,0,0,14,0,0,0,0,0,8,12,14,14,2,0,0,0,0,0,0,0,0,0
13,12,9,7,3,0,0,1,0,11,3,4,12,2,5,8,11,6,18,0,0,0,0,9,0,0,0,19,0,0,19,0,17,16,19,17,15,0,17,0,0,19,0,0,12,0,0,10,14,19,19,3,0,0,0,0,0,0,0,0,0
11,10,8,6,3,0,0,1,0,9,3,3,9,2,4,7,11,5,14,0,0,0,0,0,0,0,0,16,0,0,16,7,14,13,16,14,13,0,15,0,0,16,0,0,9,0,0,9,12,16,16,4,0,0,0,0,0,0,0,0,0
12,12,9,8,4,0,0,1,0,11,4,5,11,3,6,9,12,7,17,0,0,0,0,11,0,0,0,17,0,0,17,0,16,14,17,15,14,0,16,0,0,17,0,0,12,0,0,10,13,17,17,2,0,0,0,0,0,0,0,0,0
